"subject_nr","correct","Typicality","group","Exemplar","MAD","AUC","RT","acc_max_time","xpos_flips"
1019,1,"Typical","click","Alligator",83.5047067059639,24224,1709,1140,0
1019,1,"Typical","click","Chamaeleon",229.612571455296,84043,2469,1900,1
1019,1,"Typical","click","Falke",149.983030827393,56224.5,1461,821,1
1019,1,"Typical","click","Goldfisch",85.1521553904615,7251,1278,790,0
1019,1,"Typical","click","Hai",138.886374852428,55821,2605,1540,2
1019,1,"Typical","click","Hund",897.414348941496,445690,1733,940,4
1019,1,"Typical","click","Kaninchen",62.3701072326285,35856.5,1733,620,0
1019,1,"Typical","click","Katze",812.671566977024,299648,2022,1382,2
1019,1,"Typical","click","Klapperschlange",119.208077293122,34972,3309,1900,3
1019,1,"Typical","click","Lachs",-41.2296945881726,-18923,2061,900,1
1019,1,"Typical","click","Loewe",79.7745090011473,34290,1197,660,1
1019,1,"Typical","click","Pferd",31.4976853107274,18755.5,1365,604,1
1019,1,"Typical","click","Spatz",399.516596785181,207367,1949,1340,3
1019,1,"Atypical","click","Aal",97.4234064123173,16832,1446,860,0
1019,1,"Atypical","click","Fledermaus",56.4483740101576,25184.5,2301,1900,1
1019,1,"Atypical","click","Pinguin",376.488907060761,162940.5,3631,2510,3
1019,1,"Atypical","click","Schmetterling",160.188655628952,30467.5,1870,1270,4
1019,1,"Atypical","click","Seeloewe",42.2570540594374,18132.5,2383,1967,5
1019,1,"Atypical","click","Wal",1029.15943728149,198961.5,3670,1150,2
1020,0,"Atypical","click","Fledermaus",740.572475522266,327963,1445,1100,5
1020,0,"Atypical","click","Wal",848.803992689259,338059.5,2982,2220,2
